Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8175953079178886,0.8226190476190476,0.8100820633059789,0.8163024217365623,0.9005305769749408
Gradient Boosting,0.8181818181818182,0.7928802588996764,0.861664712778429,0.8258426966292135,0.8994800180528265
Random Forest,0.8193548387096774,0.7952329360780065,0.8604923798358733,0.8265765765765766,0.8881660419728217
Decision Tree,0.8134897360703812,0.7854855923159018,0.8628370457209847,0.8223463687150838,0.8879623972832698
Extra Trees,0.8111436950146628,0.7966480446927374,0.835873388042204,0.8157894736842105,0.8869895810973697
